name,year,rating,actors
Full Metal Jacket,1987,8.3,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
2001: A Space Odyssey,1968,8.3,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
Singin' in the Rain,1952,8.3,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
Toy Story,1995,8.3,"John Lasseter (dir.), Tom Hanks, Tim Allen"
3 Idiots,2009,8.3,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
The Sting,1973,8.3,"George Roy Hill (dir.), Paul Newman, Robert Redford"
Toy Story 3,2010,8.3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
Inglourious Basterds,2009,8.3,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
Bicycle Thieves,1948,8.3,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
Dunkirk,2017,8.3,"Christopher Nolan (dir.), Fionn Whitehead, Barry Keoghan"
The Kid,1921,8.3,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
Snatch,2000,8.3,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
Monty Python and the Holy Grail,1975,8.3,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
Good Will Hunting,1997,8.3,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
Jagten,2012,8.3,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
For a Few Dollars More,1965,8.3,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
L.A. Confidential,1997,8.3,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
Scarface,1983,8.3,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
The Apartment,1960,8.2,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
Metropolis,1927,8.2,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
A Separation,2011,8.2,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
Rashômon,1950,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
Indiana Jones and the Last Crusade,1989,8.2,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
